Edge TPU Compiler version 15.0.340273435
Input: blazeface_quant.tflite
Output: blazeface_quant_edgetpu.tflite

Operator                       Count      Status

QUANTIZE                       5          Mapped to Edge TPU
DEPTHWISE_CONV_2D              17         Mapped to Edge TPU
CONV_2D                        25         Mapped to Edge TPU
RESHAPE                        5          Mapped to Edge TPU
CONCATENATION                  2          Mapped to Edge TPU
LOGISTIC                       1          Mapped to Edge TPU
CUSTOM                         1          Operation is working on an unsupported data type
ADD                            11         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
DEQUANTIZE                     2          Operation is working on an unsupported data type
